file,has_detect,n_detect,n_kc
DI2_Cam1_2026-07-18_10-10-14-549.jpg,0,0,1
DI2_Cam1_2026-07-18_10-11-40-176.jpg,1,1,1
DI2_Cam1_2026-07-18_10-11-45-636.jpg,1,1,1
DI2_Cam1_2026-07-18_10-11-55-175.jpg,0,0,1
DI2_Cam1_2026-07-18_10-11-56-690.jpg,0,0,1
DI2_Cam1_2026-07-18_10-14-15-404.jpg,0,0,1
DI2_Cam1_2026-07-18_10-14-40-482.jpg,1,1,1
DI2_Cam1_2026-07-18_10-14-54-478.jpg,1,1,1
DI2_Cam1_2026-07-18_10-17-33-756.jpg,0,0,1
DI2_Cam1_2026-07-18_10-17-44-354.jpg,0,0,1
DI2_Cam1_2026-07-18_10-17-49-889.jpg,0,0,1
DI2_Cam1_2026-07-18_10-18-02-377.jpg,0,0,1
DI2_Cam1_2026-07-18_10-18-03-404.jpg,0,0,1
DI2_Cam2_2026-07-18_10-10-14-552.jpg,0,0,1
DI2_Cam2_2026-07-18_10-11-40-181.jpg,1,1,1
DI2_Cam2_2026-07-18_10-11-45-634.jpg,1,1,1
DI2_Cam2_2026-07-18_10-11-55-176.jpg,0,0,1
DI2_Cam2_2026-07-18_10-11-56-689.jpg,0,0,1
DI2_Cam2_2026-07-18_10-14-15-408.jpg,0,0,1
DI2_Cam2_2026-07-18_10-14-40-480.jpg,1,1,1
DI2_Cam2_2026-07-18_10-14-54-481.jpg,1,1,1
DI2_Cam2_2026-07-18_10-17-33-758.jpg,0,0,1
DI2_Cam2_2026-07-18_10-17-44-355.jpg,0,0,1
DI2_Cam2_2026-07-18_10-17-49-889.jpg,0,0,1
DI2_Cam2_2026-07-18_10-18-02-517.jpg,0,0,1
DI2_Cam2_2026-07-18_10-18-03-407.jpg,0,0,1
DI2_Cam3_2026-07-18_10-10-14-550.jpg,0,0,1
DI2_Cam3_2026-07-18_10-11-40-175.jpg,0,0,1
DI2_Cam3_2026-07-18_10-11-45-637.jpg,0,0,1
DI2_Cam3_2026-07-18_10-11-55-177.jpg,0,0,1
DI2_Cam3_2026-07-18_10-11-56-691.jpg,1,1,1
DI2_Cam3_2026-07-18_10-14-15-409.jpg,1,1,1
DI2_Cam3_2026-07-18_10-14-40-488.jpg,0,0,1
DI2_Cam3_2026-07-18_10-14-54-482.jpg,0,0,1
DI2_Cam3_2026-07-18_10-17-33-757.jpg,0,0,1
DI2_Cam3_2026-07-18_10-17-44-358.jpg,0,0,1
DI2_Cam3_2026-07-18_10-17-49-891.jpg,0,0,1
DI2_Cam3_2026-07-18_10-18-02-520 - 副本.jpg,0,0,1
DI2_Cam3_2026-07-18_10-18-02-520.jpg,0,0,1
DI2_Cam3_2026-07-18_10-18-03-405.jpg,0,0,1
DI2_Cam4_2026-07-18_10-10-14-561.jpg,0,0,1
DI2_Cam4_2026-07-18_10-11-40-179.jpg,0,0,1
DI2_Cam4_2026-07-18_10-11-45-648.jpg,0,0,1
DI2_Cam4_2026-07-18_10-11-55-179.jpg,1,1,1
DI2_Cam4_2026-07-18_10-11-56-694.jpg,1,1,1
DI2_Cam4_2026-07-18_10-14-15-405.jpg,0,0,1
DI2_Cam4_2026-07-18_10-14-40-475.jpg,0,0,1
DI2_Cam5_2026-07-18_10-11-55-176.jpg,1,1,1
DI2_Cam5_2026-07-18_10-11-56-689.jpg,1,1,1
DI2_Cam5_2026-07-18_10-14-15-402.jpg,0,0,1
DI2_Cam5_2026-07-18_10-14-40-474.jpg,0,0,1
DI2_Cam5_2026-07-18_10-14-54-477.jpg,0,0,1
DI2_Cam5_2026-07-18_10-17-33-755.jpg,0,0,1
DI2_Cam5_2026-07-18_10-17-44-353.jpg,0,0,1
DI2_Cam5_2026-07-18_10-17-49-885.jpg,0,0,1
DI2_Cam5_2026-07-18_10-18-02-459.jpg,0,0,1
DI2_Cam5_2026-07-18_10-18-03-402.jpg,0,0,1
DI2_Cam6_2026-07-18_10-10-14-550.jpg,0,0,1
DI2_Cam6_2026-07-18_10-11-40-177.jpg,0,0,1
DI2_Cam6_2026-07-18_10-11-45-648.jpg,0,0,1
DI2_Cam6_2026-07-18_10-11-55-178.jpg,1,1,1
DI2_Cam6_2026-07-18_10-11-56-719.jpg,1,1,1
DI2_Cam6_2026-07-18_10-14-15-407.jpg,0,0,1
DI2_Cam6_2026-07-18_10-14-40-478.jpg,0,0,1
DI2_Cam6_2026-07-18_10-14-54-492.jpg,0,0,1
DI2_Cam6_2026-07-18_10-17-33-774.jpg,0,0,1
DI2_Cam6_2026-07-18_10-17-44-376.jpg,0,0,1
DI2_Cam6_2026-07-18_10-17-49-886.jpg,0,0,1
DI2_Cam6_2026-07-18_10-18-02-458.jpg,0,0,1
DI2_Cam6_2026-07-18_10-18-03-408 - 副本.jpg,0,0,1
DI2_Cam6_2026-07-18_10-18-03-408.jpg,0,0,1
